5.0000e+05;1.3633e+00;-3.1288e+01
1.0000e+06;1.2698e+00;-1.5445e+01
2.5000e+01;6.9977e+03;-6.0289e+05
5.0000e+01;8.9777e+03;-3.0249e+05
6.0000e+01;2.6000e+03;-2.5248e+05
1.0000e+02;1.4581e+03;-1.5189e+05
1.2000e+02;1.1936e+03;-1.2664e+05
2.0000e+02;6.3817e+02;-7.6174e+04
5.0000e+02;2.1360e+02;-3.0596e+04
1.0000e+03;9.3663e+01;-1.5333e+04
2.0000e+03;3.8859e+01;-7.6775e+03
5.0000e+03;1.5053e+01;-3.0802e+03
1.0000e+04;1.1296e+01;-2.3114e+03
2.0000e+04;3.1014e+00;-7.7259e+02
5.0000e+04;1.6222e+00;-3.0981e+02
1.0000e+05;9.4793e-01;-1.5518e+02
2.0000e+05;1.7375e+00;-7.7760e+01
