5.0000e+04;-8.0034e+04;-1.0068e+06
1.0000e+05;-9.7089e+04;-4.7763e+05
2.0000e+05;-4.7261e+04;-1.5793e+05
5.0000e+05;6.3128e+04;3.9962e+04
1.0000e+06;1.7829e+03;7.4838e+03
2.5000e+01;5.0449e+06;3.0836e+06
5.0000e+01;-1.7546e+06;8.8460e+05
6.0000e+01;6.4811e+06;6.8751e+06
1.0000e+02;2.6639e+06;5.3877e+06
1.2000e+02;1.5639e+07;2.6789e+07
2.0000e+02;1.6317e+07;3.8047e+06
5.0000e+02;4.2166e+07;-4.4941e+07
1.0000e+03;4.2146e+07;-2.5979e+07
2.0000e+03;1.7740e+07;-3.2470e+07
5.0000e+03;-1.7643e+05;-1.4544e+07
1.0000e+04;-1.5844e+06;-5.9070e+06
2.0000e+04;-3.6613e+05;-2.2909e+06
